source,title,summary,link,compound,sentiment
Google News,Liberals missed the boat on school spending accountability; Maryland aims to get on board - Maryland Matters,"<a href=""https://news.google.com/rss/articles/CBMixwFBVV95cUxQX1dwVnkwa3VlWE5ZMEJCSk45eGVnemZLZ3NrWkZmcEVjWkdiaTI1MmZWcGpsTUg5TkVDRnJxXzJGWDR5c3hrM2lVbnRUTlZpMUtkT3hDWGQ2S1VmNFRVVnhDSXdNbjZfemdSUS1iNGdKTDZYRENmdzc0SXUtV29kTEk0Rm5tanBKZ2dYaGFnbmhtQzI1R255T1FsNlNxN3ZYaGlBX0pUX2F3V2ZLZTU5NFpSc3ltdk1lcTBJa2RRdnBhbzQyU2Yw?oc=5"" target=""_blank"">Liberals missed the boat on school spending accountability; Maryland aims to get on board</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Maryland Matters</font>",https://news.google.com/rss/articles/CBMixwFBVV95cUxQX1dwVnkwa3VlWE5ZMEJCSk45eGVnemZLZ3NrWkZmcEVjWkdiaTI1MmZWcGpsTUg5TkVDRnJxXzJGWDR5c3hrM2lVbnRUTlZpMUtkT3hDWGQ2S1VmNFRVVnhDSXdNbjZfemdSUS1iNGdKTDZYRENmdzc0SXUtV29kTEk0Rm5tanBKZ2dYaGFnbmhtQzI1R255T1FsNlNxN3ZYaGlBX0pUX2F3V2ZLZTU5NFpSc3ltdk1lcTBJa2RRdnBhbzQyU2Yw?oc=5,-0.2732,Negative
Google News,Republicans and Democrats on X differ over the site’s politics and their experiences - Pew Research Center,"<a href=""https://news.google.com/rss/articles/CBMi0AFBVV95cUxPOTVKNWZLWHh4ekQ1N1JQVzhmUDVxWjM1Y3VyWGlHZHZmelpzdDNwaVQ4TGI1c2c2d1BJRVZuVTZfNlh0UGl6RkNKRnh2b3liRHp3eTBwVjRwSGRyWjRFV19wUERsdm02MWNfSmRJbWpJUXVQc1pkODhWNVcwZEdWTlMzcTA3Wl9BMkEwWEJnRnZ5ZTBvRDZhcXZYQjJuYWh2QlJTOXZGMzZJajg2LWZObm1HVlVQWnVGbzZ2X0twTmVJZkU1dDNZT2VwNmlWOUJG?oc=5"" target=""_blank"">Republicans and Democrats on X differ over the site’s politics and their experiences</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Pew Research Center</font>",https://news.google.com/rss/articles/CBMi0AFBVV95cUxPOTVKNWZLWHh4ekQ1N1JQVzhmUDVxWjM1Y3VyWGlHZHZmelpzdDNwaVQ4TGI1c2c2d1BJRVZuVTZfNlh0UGl6RkNKRnh2b3liRHp3eTBwVjRwSGRyWjRFV19wUERsdm02MWNfSmRJbWpJUXVQc1pkODhWNVcwZEdWTlMzcTA3Wl9BMkEwWEJnRnZ5ZTBvRDZhcXZYQjJuYWh2QlJTOXZGMzZJajg2LWZObm1HVlVQWnVGbzZ2X0twTmVJZkU1dDNZT2VwNmlWOUJG?oc=5,0.0,Neutral
Google News,Liberals and Conservatives in Canada split on Mark Carney and the country's direction after the election - YouGov,"<a href=""https://news.google.com/rss/articles/CBMiqgFBVV95cUxObjhXenFkaHh5eGFRUlVoQVBQZHNvZW1LZWl2R1E4Y1ZYR3RlbUdlS05ybUZQWnVENXMxV2F0aVZfWXNwbWVRSGJqYnRweUw5bHNoeTZ6b29GYVdQeGY4aHZSa3MzVVF0MHVudGN5R20wV1RpS280a0prSmtwZk14RVFiQ0NfMGhtR0x1bWV1RXR3Tm9Mdm9JTEF0eS16U21HYUJ3NFNPR0ZpQQ?oc=5"" target=""_blank"">Liberals and Conservatives in Canada split on Mark Carney and the country's direction after the election</a>&nbsp;&nbsp;<font color=""#6f6f6f"">YouGov</font>",https://news.google.com/rss/articles/CBMiqgFBVV95cUxObjhXenFkaHh5eGFRUlVoQVBQZHNvZW1LZWl2R1E4Y1ZYR3RlbUdlS05ybUZQWnVENXMxV2F0aVZfWXNwbWVRSGJqYnRweUw5bHNoeTZ6b29GYVdQeGY4aHZSa3MzVVF0MHVudGN5R20wV1RpS280a0prSmtwZk14RVFiQ0NfMGhtR0x1bWV1RXR3Tm9Mdm9JTEF0eS16U21HYUJ3NFNPR0ZpQQ?oc=5,0.0,Neutral
Google News,'Told You So': Liberals React as Trump-Musk Alliance Implodes in Real Time - Newsweek,"<a href=""https://news.google.com/rss/articles/CBMimgFBVV95cUxOam1pVmFkRllIUlBnTnBrNzhiS2JFWHJRX0xXblVrdHc2bGRJSXUzX2pTRE5LZE1wTGhUZXh3ejFvTl9VQ181bEF2VW5DNER4SjZnSnhGVXBJS01sSzlPSkZQMUo0M2JkMHk2Um5BaUNEejJqSm1wY09leGxhMnJMZ1lKSERUcEFEdV93V21SR216dlRBOUd4cnNn?oc=5"" target=""_blank"">'Told You So': Liberals React as Trump-Musk Alliance Implodes in Real Time</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Newsweek</font>",https://news.google.com/rss/articles/CBMimgFBVV95cUxOam1pVmFkRllIUlBnTnBrNzhiS2JFWHJRX0xXblVrdHc2bGRJSXUzX2pTRE5LZE1wTGhUZXh3ejFvTl9VQ181bEF2VW5DNER4SjZnSnhGVXBJS01sSzlPSkZQMUo0M2JkMHk2Um5BaUNEejJqSm1wY09leGxhMnJMZ1lKSERUcEFEdV93V21SR216dlRBOUd4cnNn?oc=5,0.0,Neutral
Google News,Stalsworth: Among liberal Democrats and conservative Christians - Seguin Gazette,"<a href=""https://news.google.com/rss/articles/CBMi-wFBVV95cUxNNVd1aTVkaUFNN3hVMkF1LTdhcHRtTlc2SWkzbThhSndFR1FmSVA1cEVRSFlVbnljR2t0SlZOODkwX0p5a2NqalJnYXpnQlFGQVdIUjBsZzdqc2xsWXpSTnBDaXZoQTFDdnp4SjBrSGtjVXZ2cUVoWlB5a3dxbFZjUkVSTzZOaHhjc1ctZk9pY2plTU5OVDU2TnV5VU9xM0RpbUdjSDJwZnFKMDVkUjhzTm5YQjJTSkdZNW9wTUU5cGlxOE53Qkh0OU9uTUtzRzRaVzI4TWtjMUpiZ29BZ2NIV3FuTk9WSlRMbG91cDE3QU00MDRkRXcydWdlWQ?oc=5"" target=""_blank"">Stalsworth: Among liberal Democrats and conservative Christians</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Seguin Gazette</font>",https://news.google.com/rss/articles/CBMi-wFBVV95cUxNNVd1aTVkaUFNN3hVMkF1LTdhcHRtTlc2SWkzbThhSndFR1FmSVA1cEVRSFlVbnljR2t0SlZOODkwX0p5a2NqalJnYXpnQlFGQVdIUjBsZzdqc2xsWXpSTnBDaXZoQTFDdnp4SjBrSGtjVXZ2cUVoWlB5a3dxbFZjUkVSTzZOaHhjc1ctZk9pY2plTU5OVDU2TnV5VU9xM0RpbUdjSDJwZnFKMDVkUjhzTm5YQjJTSkdZNW9wTUU5cGlxOE53Qkh0OU9uTUtzRzRaVzI4TWtjMUpiZ29BZ2NIV3FuTk9WSlRMbG91cDE3QU00MDRkRXcydWdlWQ?oc=5,0.0,Neutral
Google News,"LA liberals’ anti-ICE riots: Letters to the Editor — June 10, 2025 - New York Post","<a href=""https://news.google.com/rss/articles/CBMifkFVX3lxTE1oMnMzRE92cjlnRjIyU1hXbjd1VGhTdEN4RDZmaFhVSmYzNENxS3JtVm9JSE9TS1gxVjJuZVdtbERQRk4tV2ZwT0ZnekVGSldBUXF6RDlpa3AyR3pNeUI3UjZWTVg0RS1EMkJ5YzFwVFdpa0dYMmNpY1dHQldRUQ?oc=5"" target=""_blank"">LA liberals’ anti-ICE riots: Letters to the Editor — June 10, 2025</a>&nbsp;&nbsp;<font color=""#6f6f6f"">New York Post</font>",https://news.google.com/rss/articles/CBMifkFVX3lxTE1oMnMzRE92cjlnRjIyU1hXbjd1VGhTdEN4RDZmaFhVSmYzNENxS3JtVm9JSE9TS1gxVjJuZVdtbERQRk4tV2ZwT0ZnekVGSldBUXF6RDlpa3AyR3pNeUI3UjZWTVg0RS1EMkJ5YzFwVFdpa0dYMmNpY1dHQldRUQ?oc=5,-0.5106,Negative
Google News,No Yukon Liberal debate planned in leadership run as meet and greet set - Yukon News,"<a href=""https://news.google.com/rss/articles/CBMisAFBVV95cUxOeEl0V2w5TjBsOWlhNlBzdnJsVzVlZlRlaDdpQXZpU2RpZE9fbTlLUlpFMTQ0NVBIOEloWkFINGMtTTVMM2NzSXVNeXhSMTh6WFN0UC1kT1R1NjVHOUFYOXFWZkM3Nnc0MEZBYnc1YjV2bmhneVNMRWdQN3pPVG1WdDBqc1UzbC1iNUp3ZXQ2djk4VTByODFEaDM2OUdyV0I1djloU0cxWkJoTkFHTGJJVQ?oc=5"" target=""_blank"">No Yukon Liberal debate planned in leadership run as meet and greet set</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Yukon News</font>",https://news.google.com/rss/articles/CBMisAFBVV95cUxOeEl0V2w5TjBsOWlhNlBzdnJsVzVlZlRlaDdpQXZpU2RpZE9fbTlLUlpFMTQ0NVBIOEloWkFINGMtTTVMM2NzSXVNeXhSMTh6WFN0UC1kT1R1NjVHOUFYOXFWZkM3Nnc0MEZBYnc1YjV2bmhneVNMRWdQN3pPVG1WdDBqc1UzbC1iNUp3ZXQ2djk4VTByODFEaDM2OUdyV0I1djloU0cxWkJoTkFHTGJJVQ?oc=5,0.0258,Neutral
Google News,Can Jesse Singal save liberalism? He’s paid a steep cost for trans dissent - UnHerd,"<a href=""https://news.google.com/rss/articles/CBMibEFVX3lxTFBZUVhMTzU5ZTNSY3lfV1dlNEY0c0lZQWRQMXE0TnZFbzYwQjBvaFF4aGtLWWtOZWJYbkR4ZVBmTGFLSEV2SUViZGlrMERHa1dnOGwwVHVjc25xWFVoRktUMXlGak13LTlBR1BGdA?oc=5"" target=""_blank"">Can Jesse Singal save liberalism? He’s paid a steep cost for trans dissent</a>&nbsp;&nbsp;<font color=""#6f6f6f"">UnHerd</font>",https://news.google.com/rss/articles/CBMibEFVX3lxTFBZUVhMTzU5ZTNSY3lfV1dlNEY0c0lZQWRQMXE0TnZFbzYwQjBvaFF4aGtLWWtOZWJYbkR4ZVBmTGFLSEV2SUViZGlrMERHa1dnOGwwVHVjc25xWFVoRktUMXlGak13LTlBR1BGdA?oc=5,0.4939,Positive
Google News,Why the Liberals Won: Five Theories - American Enterprise Institute,"<a href=""https://news.google.com/rss/articles/CBMiigFBVV95cUxNYURqeWtLTHptTkJJNzBJRGN4N0xnSnB5NVNJODJja1piODdJamVWaElqOU9NcDRpczI2SUwtN1Fsa1d6RkRMTWphSmFkc1J5MVNuVzBpNjJSS2dHVmUyZDRMUGg4aTNTQ0t1SjBDN1dlVjZOV2V1UHUyTFM3TjBVZnFiOHpCRU56NXc?oc=5"" target=""_blank"">Why the Liberals Won: Five Theories</a>&nbsp;&nbsp;<font color=""#6f6f6f"">American Enterprise Institute</font>",https://news.google.com/rss/articles/CBMiigFBVV95cUxNYURqeWtLTHptTkJJNzBJRGN4N0xnSnB5NVNJODJja1piODdJamVWaElqOU9NcDRpczI2SUwtN1Fsa1d6RkRMTWphSmFkc1J5MVNuVzBpNjJSS2dHVmUyZDRMUGg4aTNTQ0t1SjBDN1dlVjZOV2V1UHUyTFM3TjBVZnFiOHpCRU56NXc?oc=5,0.5719,Positive
Google News,MAGA World and liberals have turned on Musk as Trump divorce turns friends to foe - The Independent,"<a href=""https://news.google.com/rss/articles/CBMipgFBVV95cUxNaUEwa29YRzJsV21HQ2c0MVZuM3ExYWE4ME1SVmdMa2phcG11NVJMQk1ObnE1VzZrOS1PNjRrSE9qZmM3UFJ4X1JMT2tac0VaaVd3WDFjbFYxNHlRU0V2TTFzM0tYOHh2UEdINWFrX2piT2dEN0twNDRRVzJVQVpPR1p5VzlXN1NzYWNtOUE1bVhsVUJ0dFNaYnlmdWhaNW82aG42N1hR?oc=5"" target=""_blank"">MAGA World and liberals have turned on Musk as Trump divorce turns friends to foe</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Independent</font>",https://news.google.com/rss/articles/CBMipgFBVV95cUxNaUEwa29YRzJsV21HQ2c0MVZuM3ExYWE4ME1SVmdMa2phcG11NVJMQk1ObnE1VzZrOS1PNjRrSE9qZmM3UFJ4X1JMT2tac0VaaVd3WDFjbFYxNHlRU0V2TTFzM0tYOHh2UEdINWFrX2piT2dEN0twNDRRVzJVQVpPR1p5VzlXN1NzYWNtOUE1bVhsVUJ0dFNaYnlmdWhaNW82aG42N1hR?oc=5,0.0516,Positive
Google News,Conservatives more likely than liberals to negotiate price - Cornell Chronicle,"<a href=""https://news.google.com/rss/articles/CBMilgFBVV95cUxOMmRWbGZXN3FxOFBodU1MWFdiT1BJQnAwVU9sMUVoV3RUY3Vxb2tzM3A0RWZ4MGVhNkhqT1VvTnVZa0gzdHdyREN1WDNMcUttdnY5SFJvUVFaNENJUVJkVURRMlJqMERGZjhodVNoZ1AxM0RIWmVKWWhpUWt1UmdNbTJ6clZ5dUlMVUFlVUJZakhNZHM2Zmc?oc=5"" target=""_blank"">Conservatives more likely than liberals to negotiate price</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Cornell Chronicle</font>",https://news.google.com/rss/articles/CBMilgFBVV95cUxOMmRWbGZXN3FxOFBodU1MWFdiT1BJQnAwVU9sMUVoV3RUY3Vxb2tzM3A0RWZ4MGVhNkhqT1VvTnVZa0gzdHdyREN1WDNMcUttdnY5SFJvUVFaNENJUVJkVURRMlJqMERGZjhodVNoZ1AxM0RIWmVKWWhpUWt1UmdNbTJ6clZ5dUlMVUFlVUJZakhNZHM2Zmc?oc=5,0.0,Neutral
Google News,Canada’s Liberals are already thinking about how to remove Mark Carney. It’s not personal. - Politico,"<a href=""https://news.google.com/rss/articles/CBMiiwFBVV95cUxOYmN6OURhbWJsVDdtdFAtNjVvVmQxb2k5Q2YyUlRrLUdNVDFxQ1QwZGhHM2ZWZmVjXzIwYVRXSWFRY3FKYWs1Z3VaalFhWC1MOENFai03dVdiQ3Jta0lOWHI1SHdOVWpjdl93cmR6MkJaSi1SVHZsd3dETDZnajhwUnBaUUhVV1o1TllZ?oc=5"" target=""_blank"">Canada’s Liberals are already thinking about how to remove Mark Carney. It’s not personal.</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Politico</font>",https://news.google.com/rss/articles/CBMiiwFBVV95cUxOYmN6OURhbWJsVDdtdFAtNjVvVmQxb2k5Q2YyUlRrLUdNVDFxQ1QwZGhHM2ZWZmVjXzIwYVRXSWFRY3FKYWs1Z3VaalFhWC1MOENFai03dVdiQ3Jta0lOWHI1SHdOVWpjdl93cmR6MkJaSi1SVHZsd3dETDZnajhwUnBaUUhVV1o1TllZ?oc=5,0.0,Neutral
Google News,"Douglas Murray: Liberals turn killers, racists, and haters into martyrs - New York Post","<a href=""https://news.google.com/rss/articles/CBMiqwFBVV95cUxQSXdaWlRZRGF6LWo1RnQ3VkRTWG80WXdpcEhERG1jYy1UVDM0WmpVYzI1VE40YzVCUFBfaG1XTFhnblQ5V0ZEeENRUllTdk1nQ3JjSzRlVlh4SThoVG9OVE9RU2dndl9SWFlDZlJKRnJ5c25yMU5tR2pNWS1TMVlCVjlFLUdXZVdLdGpTM3d6X1dfN2hGZmRvU0NreU1FMlAyem1wZ2dkcE52YU0?oc=5"" target=""_blank"">Douglas Murray: Liberals turn killers, racists, and haters into martyrs</a>&nbsp;&nbsp;<font color=""#6f6f6f"">New York Post</font>",https://news.google.com/rss/articles/CBMiqwFBVV95cUxQSXdaWlRZRGF6LWo1RnQ3VkRTWG80WXdpcEhERG1jYy1UVDM0WmpVYzI1VE40YzVCUFBfaG1XTFhnblQ5V0ZEeENRUllTdk1nQ3JjSzRlVlh4SThoVG9OVE9RU2dndl9SWFlDZlJKRnJ5c25yMU5tR2pNWS1TMVlCVjlFLUdXZVdLdGpTM3d6X1dfN2hGZmRvU0NreU1FMlAyem1wZ2dkcE52YU0?oc=5,-0.9001,Negative
